iter	Passed	Remaining
1640	3667	41028
1641	3669	41023
1642	3671	41016
1643	3672	41010
1644	3674	41005
1645	3677	41004
1646	3679	40999
1647	3681	40994
1648	3683	40988
1649	3685	40984
1650	3687	40979
1651	3689	40973
1652	3691	40969
1653	3693	40964
1654	3695	40961
1655	3697	40955
1656	3699	40950
1657	3701	40945
1658	3703	40941
1659	3705	40942
1660	3707	40939
1661	3709	40933
1662	3712	40931
1663	3714	40934
1664	3716	40929
1665	3718	40923
1666	3720	40917
1667	3722	40913
1668	3724	40908
1669	3726	40902
1670	3728	40897
1671	3730	40890
1672	3732	40890
1673	3734	40886
1674	3736	40880
1675	3738	40874
1676	3740	40870
1677	3743	40871
1678	3745	40866
1679	3747	40860
1680	3748	40853
1681	3750	40850
1682	3753	40846
1683	3755	40845
1684	3757	40839
1685	3759	40835
1686	3761	40832
1687	3763	40826
1688	3765	40821
1689	3767	40818
1690	3769	40816
1691	3771	40811
1692	3773	40805
1693	3775	40799
1694	3777	40793
1695	3780	40798
1696	3782	40792
1697	3784	40786
1698	3786	40782
1699	3788	40780
1700	3790	40775
1701	3792	40769
1702	3794	40764
1703	3796	40759
1704	3798	40760
1705	3800	40755
1706	3802	40749
1707	3804	40744
