name,price,manufacturer
"Lenovo G34w-10 [34"" UWQHD 3440 x 1440 (2K), 144Hz, AMD FreeSync Premium, VA Panel] Curved Gaming Monitor for $359.99 w/ FS",$359.99,Newegg
Crucial P2 1TB 3D NAND NVMe PCIe M.2 SSD for $82.99 w/ FS after Code,$82.99,Newegg
"Lenovo Ideapad 3 Laptop: i5-1135G7, 15.6"" IPS Touchscreen, 12GB RAM, 256GB SSD",$450,Best Buy
"Lenovo Ideapad 3 Laptop: 15.6"" HD Touch Screen, Core i3-1115G4, 8GB RAM, 256GB SSD $350 + Free Curbside Pickup at Best Buy or FS",$350,Best Buy
"H&R Block 2021 Tax Software (Windows/Mac): Premium $30, Deluxe + State",$22,Newegg
"Acer 315 Chromebook Manufacturer Refurbished: Celeron N4020, 15.6"" 1080p IPS Touchscreen, 4GB RAM, 64GB eMMC $169.99",$169.99,
Kingston Beast 3000MHz 8GB DDR4 Desktop Memory $29.99 + Free Shipping,$29.99,Kingston
"ASUS ROG Strix XG438Q 43"" 4K 120Hz Backlit LED Gaming Monitor w/ Free ROG Gaming Mouse for $899.99 w/ FS",$899.99,Newegg
Seagate 16TB HDD Exos X16 7200 RPM 512e/4Kn SATA 6Gb/s 256MB Cache 3.5-Inch Enterprise Hard Drive (ST16000NM001G) $305.99,$305.99,Amazon
"HP ENVY 13.3"" Touchscreen Intel Evo Platform Laptop - 11th Gen Intel Core i7-1165G7 - 1080p - Windows 11 $799",$799,Costco Wholesale
NETGEAR Orbi Home Mesh WiFi 2Pack System - Certified Refurbished - $150 + Free Shipping $149.99,$149.99,Deal Parade
Intel Core i3-10105 Core i3 10th Gen Comet Lake Quad-Core 3.7GHz LGA1200 65W Intel UHD Graphics630 Desktop Processor for $119.99 w/ FS after Code,$119.99,Newegg
Lenovo Go Cork Wireless Vertical Mouse $34,$34,Lenovo
"EPOMAKER SKYLOONG AK61 61 Keys Hot Swappable Programmable Mechanical Keyboard RGB PBT Keycaps, NKRO, IP6X Waterproof, Gateron Optical Blue, $37.5",$37.50,Amazon
"Neo Forza NFS01 2.5"" 960GB 3D TLC SATA III 2.5 inch SSD $66 free shipping",$66,Newegg
"(refurb): TP-Link Archer A20 AC4000 Wireless Router $70, TP-Link Archer C5400X AC5400 Wireless Router $130 + free s/h at B&H Photo",$70,B&H Photo Video
"Costco Members: ASUS C424MA 14"" Chromebook: 1080p, N4020, 128GB Storage, 4GB RAM",$160,Costco Wholesale
New Micro Center Customers: Creality Ender 3 Pro 3D Printer,$100,Micro Center
Qnap TS-453D 4-Bay Diskless NAS @B&H $439,$439,B&H Photo Video
"MinisForum X500-5700G BareBone: Ryzen 7 5700G, 2xSODIMM, 1x M.2 2280 NVMe, 1x2242, 1x 2.5"", Dual 4K60Hz @ $669 + F/S",$669,Minisforum
"Microsoft Surface Pro 8: 13"" 2880x1920, i5-1135G7, 8GB RAM, 128GB SSD & More",$999 or Less,BuyDig
iClever GK15 Wireless Keyboard and Mouse Combo $13.49 + Free Shipping w/ Prime,$13.49,Amazon
"1TB PNY CS900 2.5"" SSD @Newegg $77",$77,Newegg
"Minisforum GK41 Mini PC: Celeron J4125, 8GB DDR4, 128GB PCIe SSD, HDMI 2.0/DP 1.2 (Dual 4K@60Hz), Win10Pro @ $249 + F/S",$249,Minisforum
Bitdefender Bit Defender End of Life Deal $9.98 for 1 year/5 PC,$9.98,BitDefender
YMMV - ELGATO STREAM DECK MINI Target IN-STORE Clearance $39.99 Your Mileage May Vary,$39.99,Target
"GIGABYTE M32U 32"" (31.5"" Viewable) Gaming Monitor[/url] for $749.99 after $50 Promo Code PREXMAS + FS",$749.99,Newegg
"Lenovo LEGION 5i Pro 16"" Gaming Laptop - 11th Gen Intel Core i7-11800H GTX 3050 $999.99",$999.99,Costco Wholesale
"Seasonic FOCUS GX-850, 850W 80+ Gold, Full-Modular Power Supply $89.99",$89.99,Amazon
Team 64GB microSDXC UHS-I/U1 Class 10 Memory Card w/ Adapter (TUSDX64GUHS03) $6 + Free Shipping,$6,Newegg
"Inland Performance 2TB SSD PCIe Gen 4.0 NVMe 4 x4 M.2 2280 TLC 3D NAND Internal Solid State Drive, R/W Speed up to 5000MB/s and 4300MB/s, 3600 TBW $229.99 + F/S",$229.99,Amazon
"WD_BLACK 500GB SN750 SE NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 3,600 MB/s - WDS500G1B0E $49.99",$49.99,Amazon
"Legion 5 Gen 6 Laptop: 17.3"", AMD Ryzen 5 5600H, 8GB RAM, 256GB SSD, RTX 3060 + SD Cashback + Free S/H Gaming Laptop $1119.99","$1,119.99",Lenovo
G.SKILL Ripjaws V Series 16GB (2 x 8GB) kit (F4-3200C16D-16GVRB) for $54.99 + FS,$54.99,Newegg
AX4200 WiFi Mesh System (RBK752) Orbi Tri-Band WiFi 6 Mesh System- $329.99,$329.99,Netgear
4TB WD Red Plus NAS Hard Drive @Newegg $75,$75,Newegg
"Costco in-store Dell XPS 8940 Desktop i7-11700, 32GB RAM, RTX 3060Ti, 512GB SSD + 1TB HDD $1299.99 YMMV","$1,299.99",Costco Wholesale
be quiet! Dark Power 12 750W 80+ Titanium Fully Modular Power Supply for $139.90 w/ FS after code,$139.90,Newegg
Seasonic Focus PX-750 750W 80+ Platinum Full-Modular Power Supply,$75,Newegg
"GIGABYTE AERO 15 OLED YD[15.6"" UHD 4K AMOLED, i7 11800H, GeForce RTX 3080, 16GB RAM, 1TB SSD] Gaming Laptop for $1899 w/ FS after MIR $1898.98","$1,898.98",Newegg
"SanDisk 256GB microSDXC Card, Licensed for Nintendo Switch - 2 pack $50",$50,Costco Wholesale
Western Digital 1TB WD Blue SN570 NVMe $89.99,$89.99,Amazon
"Costco Members: LG Gram 15 Laptop: i5-1135G7, 15.6"" 1080p, 16GB DDR4, 512GB SSD",$750,Costco Wholesale
"Lenovo Ideapad 3i, 14.0"" FHD, Intel Core i5-10210U, 8GB, 512GB SSD, Platinum Grey, Windows 11 Home, 81WA00Q7US on Walmart.com for $449 + FS or P/U in store",$449,Walmart
Crucial Ballistix MAX 16GB Kit (2 x 8GB) DDR4-4000 Desktop Gaming Memory (Black) CL18 1.35V $76.99,$76.99,Crucial.com
1TB WD Blue SN550 NVMe PCIe M.2 2280 Solid State Drive,$79,Newegg
"Costco - MSI Katana 15.6"" Laptop - 11th Gen Intel Core i7-11800H - GeForce RTX 3060 - 1080p - 144Hz - $1099","$1,099",Costco Wholesale
"GIGABYTE G5 KC Gaming Laptop [15.6"" FHD IPS Anti-Glare 144Hz, Intel Core i5-10500H, GeForce RTX 3060, 16GB RAM, 512GB SSD] for $999 w/ FS after MIR",$999,Newegg
"MSI Stealth GS 66 Laptop GeForce RTX 3070,32 GB Mem, $1,799 ($700 off) $1799","$1,799",Costco Wholesale
$160 LEVEN Portable SSD 2TB Aluminum External Solid State Drive SSD $159.99,$159.99,Amazon
"Lenovo G34w-10 [34"" UWQHD 3440 x 1440 (2K), 144Hz, AMD FreeSync Premium, VA Panel] Curved Gaming Monitor for $359.99 w/ FS",$359.99,Newegg
Ivacy VPN: 5 year or Lifetime $35.00 2TB storage w/ coupon via stacksocial.com,$39.99,Ivacy VPN
